Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;xy1_x;xy2_x;y3_x;xy4_x;Position X;Position Y;Cluster
1320;District 4 Delta;Romance;Premium;  1852P;"5296, 4176";"5312, 4192";"5280, 4192";"5280, 4160";"5312, 4160";5296.0000;4176.0000;90
1321;District 4 Delta;Romance;Premium;  1853P;"4736, 3268";"4752, 3284";"4720, 3284";"4720, 3252";"4752, 3252";4736.0000;3268.0000;91
1322;District 4 Delta;Romance;Premium;  1854P;"4768, 3268";"4784, 3284";"4752, 3284";"4752, 3252";"4784, 3252";4768.0000;3268.0000;91
1323;District 4 Delta;Romance;Premium;  1855P;"4384, 3488";"4400, 3504";"4368, 3504";"4368, 3472";"4400, 3472";4384.0000;3488.0000;92
1324;District 4 Delta;Romance;Premium;  1856P;"4416, 3488";"4432, 3504";"4400, 3504";"4400, 3472";"4432, 3472";4416.0000;3488.0000;92
1325;District 4 Delta;Romance;Premium;  1857P;"2304, 2532";"2288, 2548";"2320, 2548";"2320, 2516";"2288, 2516";2304.0000;2532.0000;93
1326;District 4 Delta;Romance;Premium;  1858P;"2272, 2532";"2256, 2548";"2288, 2548";"2288, 2516";"2256, 2516";2272.0000;2532.0000;93
1327;District 4 Delta;Romance;Premium;  1859P;"2128, 3632";"2112, 3648";"2144, 3648";"2144, 3616";"2112, 3616";2128.0000;3632.0000;94
1328;District 4 Delta;Romance;Premium;  1860P;"2096, 3632";"2080, 3648";"2112, 3648";"2112, 3616";"2080, 3616";2096.0000;3632.0000;94
1329;District 4 Delta;Romance;Premium;  1861P;"1776, 3440";"1760, 3456";"1792, 3456";"1792, 3424";"1760, 3424";1776.0000;3440.0000;95
1330;District 4 Delta;Romance;Premium;  1862P;"1744, 3440";"1728, 3456";"1760, 3456";"1760, 3424";"1728, 3424";1744.0000;3440.0000;95
1331;District 4 Delta;Romance;Premium;  1863P;"3984, 3440";"4000, 3456";"3968, 3456";"3968, 3424";"4000, 3424";3984.0000;3440.0000;96
1332;District 4 Delta;Romance;Premium;  1864P;"4016, 3440";"4032, 3456";"4000, 3456";"4000, 3424";"4032, 3424";4016.0000;3440.0000;96
1333;District 4 Delta;Romance;Premium;  1865P;"3456, 2532";"3472, 2548";"3440, 2548";"3440, 2516";"3472, 2516";3456.0000;2532.0000;97
1334;District 4 Delta;Romance;Premium;  1866P;"3488, 2532";"3504, 2548";"3472, 2548";"3472, 2516";"3504, 2516";3488.0000;2532.0000;97
1335;District 4 Delta;Romance;Premium;  1867P;"3104, 2752";"3120, 2768";"3088, 2768";"3088, 2736";"3120, 2736";3104.0000;2752.0000;98
1336;District 4 Delta;Romance;Premium;  1868P;"3136, 2752";"3152, 2768";"3120, 2768";"3120, 2736";"3152, 2736";3136.0000;2752.0000;98
1337;District 4 Delta;Romance;Premium;  1869P;"2304, 7388";"2288, 7372";"2320, 7372";"2320, 7404";"2288, 7404";2304.0000;7388.0000;99
1338;District 4 Delta;Romance;Premium;  1870P;"2272, 7388";"2256, 7372";"2288, 7372";"2288, 7404";"2256, 7404";2272.0000;7388.0000;99
1339;District 4 Delta;Romance;Premium;  1871P;"1776, 6480";"1760, 6464";"1792, 6464";"1792, 6496";"1760, 6496";1776.0000;6480.0000;100
1340;District 4 Delta;Romance;Premium;  1872P;"1744, 6480";"1728, 6464";"1760, 6464";"1760, 6496";"1728, 6496";1744.0000;6480.0000;100
1341;District 4 Delta;Romance;Premium;  1873P;"3456, 7388";"3472, 7372";"3440, 7372";"3440, 7404";"3472, 7404";3456.0000;7388.0000;101
1342;District 4 Delta;Romance;Premium;  1874P;"3488, 7388";"3504, 7372";"3472, 7372";"3472, 7404";"3504, 7404";3488.0000;7388.0000;101
1343;District 4 Delta;Romance;Premium;  1875P;"3984, 6480";"4000, 6464";"3968, 6464";"3968, 6496";"4000, 6496";3984.0000;6480.0000;102
1344;District 4 Delta;Romance;Premium;  1876P;"4016, 6480";"4032, 6464";"4000, 6464";"4000, 6496";"4032, 6496";4016.0000;6480.0000;102
1345;District 4 Delta;Romance;Premium;  1877P;"2384, 5934";"2400, 5918";"2368, 5918";"2368, 5950";"2400, 5950";2384.0000;5934.0000;103
1346;District 4 Delta;Romance;Premium;  1878P;"2416, 5934";"2432, 5918";"2400, 5918";"2400, 5950";"2432, 5950";2416.0000;5934.0000;103
1347;District 4 Delta;Romance;Premium;  1879P;"3376, 5934";"3360, 5918";"3392, 5918";"3392, 5950";"3360, 5950";3376.0000;5934.0000;104
1348;District 4 Delta;Romance;Premium;  1880P;"3344, 5934";"3328, 5918";"3360, 5918";"3360, 5950";"3328, 5950";3344.0000;5934.0000;104
1349;District 4 Delta;Romance;Premium;  1881P;"2384, 3986";"2400, 4002";"2368, 4002";"2368, 3970";"2400, 3970";2384.0000;3986.0000;105
1350;District 4 Delta;Romance;Premium;  1882P;"2416, 3986";"2432, 4002";"2400, 4002";"2400, 3970";"2432, 3970";2416.0000;3986.0000;105
1351;District 4 Delta;Romance;Premium;  1883P;"3376, 3986";"3360, 4002";"3392, 4002";"3392, 3970";"3360, 3970";3376.0000;3986.0000;106
1352;District 4 Delta;Romance;Premium;  1884P;"3344, 3986";"3328, 4002";"3360, 4002";"3360, 3970";"3328, 3970";3344.0000;3986.0000;106
1353;District 4 Delta;Romance;Premium;  1885P;"4656, 5188";"4640, 5172";"4672, 5172";"4672, 5204";"4640, 5204";4656.0000;5188.0000;107
1354;District 4 Delta;Romance;Premium;  1886P;"4624, 5188";"4608, 5172";"4640, 5172";"4640, 5204";"4608, 5204";4624.0000;5188.0000;107
1355;District 4 Delta;Romance;Premium;  1887P;"4656, 4732";"4640, 4748";"4672, 4748";"4672, 4716";"4640, 4716";4656.0000;4732.0000;108
1356;District 4 Delta;Romance;Premium;  1888P;"4624, 4732";"4608, 4748";"4640, 4748";"4640, 4716";"4608, 4716";4624.0000;4732.0000;108
1357;District 4 Delta;Romance;Premium;  1889P;"1776, 5120";"1760, 5104";"1792, 5104";"1792, 5136";"1760, 5136";1776.0000;5120.0000;109
1358;District 4 Delta;Romance;Premium;  1890P;"1744, 5120";"1728, 5104";"1760, 5104";"1760, 5136";"1728, 5136";1744.0000;5120.0000;109
1359;District 4 Delta;Romance;Premium;  1891P;"1776, 4800";"1760, 4816";"1792, 4816";"1792, 4784";"1760, 4784";1776.0000;4800.0000;110
1360;District 4 Delta;Romance;Premium;  1892P;"1744, 4800";"1728, 4816";"1760, 4816";"1760, 4784";"1728, 4784";1744.0000;4800.0000;110
1361;District 4 Delta;Romance;Premium;  1893P;"3984, 5120";"4000, 5104";"3968, 5104";"3968, 5136";"4000, 5136";3984.0000;5120.0000;111
1362;District 4 Delta;Romance;Premium;  1894P;"4016, 5120";"4032, 5104";"4000, 5104";"4000, 5136";"4032, 5136";4016.0000;5120.0000;111
1363;District 4 Delta;Romance;Premium;  1895P;"3984, 4800";"4000, 4816";"3968, 4816";"3968, 4784";"4000, 4784";3984.0000;4800.0000;112
1364;District 4 Delta;Romance;Premium;  1896P;"4016, 4800";"4032, 4816";"4000, 4816";"4000, 4784";"4032, 4784";4016.0000;4800.0000;112
1365;District 4 Delta;Romance;Premium;  1897P;"4912, 5522";"4928, 5506";"4896, 5506";"4896, 5538";"4928, 5538";4912.0000;5522.0000;113
1366;District 4 Delta;Romance;Premium;  1898P;"4944, 5522";"4960, 5506";"4928, 5506";"4928, 5538";"4960, 5538";4944.0000;5522.0000;113
1367;District 4 Delta;Romance;Premium;  1899P;"5264, 5744";"5280, 5728";"5248, 5728";"5248, 5760";"5280, 5760";5264.0000;5744.0000;114
1368;District 4 Delta;Romance;Premium;  1900P;"5296, 5744";"5312, 5728";"5280, 5728";"5280, 5760";"5312, 5760";5296.0000;5744.0000;114
1675;District 5 Omega;Vitality;Premium;  1960P;"-1344, 3488";"-1328, 3504";"-1360, 3504";"-1360, 3472";"-1328, 3472";-1344.0000;3488.0000;144
1676;District 5 Omega;Vitality;Premium;  1959P;"-1376, 3488";"-1360, 3504";"-1392, 3504";"-1392, 3472";"-1360, 3472";-1376.0000;3488.0000;144
1677;District 5 Omega;Vitality;Premium;  1958P;"-992, 3268";"-976, 3284";"-1008, 3284";"-1008, 3252";"-976, 3252";-992.0000;3268.0000;143
1678;District 5 Omega;Vitality;Premium;  1957P;"-1024, 3268";"-1008, 3284";"-1040, 3284";"-1040, 3252";"-1008, 3252";-1024.0000;3268.0000;143
1679;District 5 Omega;Vitality;Premium;  1956P;"-464, 4176";"-448, 4192";"-480, 4192";"-480, 4160";"-448, 4160";-464.0000;4176.0000;142
1680;District 5 Omega;Vitality;Premium;  1955P;"-496, 4176";"-480, 4192";"-512, 4192";"-512, 4160";"-480, 4160";-496.0000;4176.0000;142
1681;District 5 Omega;Vitality;Premium;  1954P;"-816, 4398";"-800, 4414";"-832, 4414";"-832, 4382";"-800, 4382";-816.0000;4398.0000;141
1682;District 5 Omega;Vitality;Premium;  1953P;"-848, 4398";"-832, 4414";"-864, 4414";"-864, 4382";"-832, 4382";-848.0000;4398.0000;141
1683;District 5 Omega;Vitality;Premium;  1952P;"-1744, 4800";"-1728, 4816";"-1760, 4816";"-1760, 4784";"-1728, 4784";-1744.0000;4800.0000;140
1684;District 5 Omega;Vitality;Premium;  1951P;"-1776, 4800";"-1760, 4816";"-1792, 4816";"-1792, 4784";"-1760, 4784";-1776.0000;4800.0000;140
1685;District 5 Omega;Vitality;Premium;  1950P;"-1744, 5120";"-1728, 5104";"-1760, 5104";"-1760, 5136";"-1728, 5136";-1744.0000;5120.0000;139
1686;District 5 Omega;Vitality;Premium;  1949P;"-1776, 5120";"-1760, 5104";"-1792, 5104";"-1792, 5136";"-1760, 5136";-1776.0000;5120.0000;139
1687;District 5 Omega;Vitality;Premium;  1948P;"-4016, 4800";"-4032, 4816";"-4000, 4816";"-4000, 4784";"-4032, 4784";-4016.0000;4800.0000;138
1688;District 5 Omega;Vitality;Premium;  1947P;"-3984, 4800";"-4000, 4816";"-3968, 4816";"-3968, 4784";"-4000, 4784";-3984.0000;4800.0000;138
1689;District 5 Omega;Vitality;Premium;  1946P;"-4016, 5120";"-4032, 5104";"-4000, 5104";"-4000, 5136";"-4032, 5136";-4016.0000;5120.0000;137
1690;District 5 Omega;Vitality;Premium;  1945P;"-3984, 5120";"-4000, 5104";"-3968, 5104";"-3968, 5136";"-4000, 5136";-3984.0000;5120.0000;137
1691;District 5 Omega;Vitality;Premium;  1944P;"-4624, 4732";"-4608, 4748";"-4640, 4748";"-4640, 4716";"-4608, 4716";-4624.0000;4732.0000;136
1692;District 5 Omega;Vitality;Premium;  1943P;"-4656, 4732";"-4640, 4748";"-4672, 4748";"-4672, 4716";"-4640, 4716";-4656.0000;4732.0000;136
1693;District 5 Omega;Vitality;Premium;  1942P;"-4624, 5188";"-4608, 5172";"-4640, 5172";"-4640, 5204";"-4608, 5204";-4624.0000;5188.0000;135
1694;District 5 Omega;Vitality;Premium;  1941P;"-4656, 5188";"-4640, 5172";"-4672, 5172";"-4672, 5204";"-4640, 5204";-4656.0000;5188.0000;135
1695;District 5 Omega;Vitality;Premium;  1940P;"-2416, 3986";"-2432, 4002";"-2400, 4002";"-2400, 3970";"-2432, 3970";-2416.0000;3986.0000;134
1696;District 5 Omega;Vitality;Premium;  1939P;"-2384, 3986";"-2400, 4002";"-2368, 4002";"-2368, 3970";"-2400, 3970";-2384.0000;3986.0000;134
1697;District 5 Omega;Vitality;Premium;  1938P;"-3344, 3986";"-3328, 4002";"-3360, 4002";"-3360, 3970";"-3328, 3970";-3344.0000;3986.0000;133
1698;District 5 Omega;Vitality;Premium;  1937P;"-3376, 3986";"-3360, 4002";"-3392, 4002";"-3392, 3970";"-3360, 3970";-3376.0000;3986.0000;133
1699;District 5 Omega;Vitality;Premium;  1936P;"-2416, 5934";"-2432, 5918";"-2400, 5918";"-2400, 5950";"-2432, 5950";-2416.0000;5934.0000;132
1700;District 5 Omega;Vitality;Premium;  1935P;"-2384, 5934";"-2400, 5918";"-2368, 5918";"-2368, 5950";"-2400, 5950";-2384.0000;5934.0000;132
1701;District 5 Omega;Vitality;Premium;  1934P;"-3344, 5934";"-3328, 5918";"-3360, 5918";"-3360, 5950";"-3328, 5950";-3344.0000;5934.0000;131
1702;District 5 Omega;Vitality;Premium;  1933P;"-3376, 5934";"-3360, 5918";"-3392, 5918";"-3392, 5950";"-3360, 5950";-3376.0000;5934.0000;131
1703;District 5 Omega;Vitality;Premium;  1932P;"-1744, 3440";"-1728, 3456";"-1760, 3456";"-1760, 3424";"-1728, 3424";-1744.0000;3440.0000;130
1704;District 5 Omega;Vitality;Premium;  1931P;"-1776, 3440";"-1760, 3456";"-1792, 3456";"-1792, 3424";"-1760, 3424";-1776.0000;3440.0000;130
1705;District 5 Omega;Vitality;Premium;  1930P;"-2272, 2532";"-2256, 2548";"-2288, 2548";"-2288, 2516";"-2256, 2516";-2272.0000;2532.0000;129
1706;District 5 Omega;Vitality;Premium;  1929P;"-2304, 2532";"-2288, 2548";"-2320, 2548";"-2320, 2516";"-2288, 2516";-2304.0000;2532.0000;129
1707;District 5 Omega;Vitality;Premium;  1928P;"-4016, 3440";"-4032, 3456";"-4000, 3456";"-4000, 3424";"-4032, 3424";-4016.0000;3440.0000;128
1708;District 5 Omega;Vitality;Premium;  1927P;"-3984, 3440";"-4000, 3456";"-3968, 3456";"-3968, 3424";"-4000, 3424";-3984.0000;3440.0000;128
1709;District 5 Omega;Vitality;Premium;  1926P;"-3488, 2532";"-3504, 2548";"-3472, 2548";"-3472, 2516";"-3504, 2516";-3488.0000;2532.0000;127
1710;District 5 Omega;Vitality;Premium;  1925P;"-3456, 2532";"-3472, 2548";"-3440, 2548";"-3440, 2516";"-3472, 2516";-3456.0000;2532.0000;127
1711;District 5 Omega;Vitality;Premium;  1924P;"-4016, 6480";"-4032, 6464";"-4000, 6464";"-4000, 6496";"-4032, 6496";-4016.0000;6480.0000;126
1712;District 5 Omega;Vitality;Premium;  1923P;"-3984, 6480";"-4000, 6464";"-3968, 6464";"-3968, 6496";"-4000, 6496";-3984.0000;6480.0000;126
1713;District 5 Omega;Vitality;Premium;  1922P;"-3664, 6248";"-3680, 6232";"-3648, 6232";"-3648, 6264";"-3680, 6264";-3664.0000;6248.0000;125
1714;District 5 Omega;Vitality;Premium;  1921P;"-3632, 6248";"-3648, 6232";"-3616, 6232";"-3616, 6264";"-3648, 6264";-3632.0000;6248.0000;125
1715;District 5 Omega;Vitality;Premium;  1920P;"-1136, 5188";"-1152, 5172";"-1120, 5172";"-1120, 5204";"-1152, 5204";-1136.0000;5188.0000;124
1716;District 5 Omega;Vitality;Premium;  1919P;"-1104, 5188";"-1120, 5172";"-1088, 5172";"-1088, 5204";"-1120, 5204";-1104.0000;5188.0000;124
1717;District 5 Omega;Vitality;Premium;  1918P;"-1136, 4732";"-1152, 4748";"-1120, 4748";"-1120, 4716";"-1152, 4716";-1136.0000;4732.0000;123
1718;District 5 Omega;Vitality;Premium;  1917P;"-1104, 4732";"-1120, 4748";"-1088, 4748";"-1088, 4716";"-1120, 4716";-1104.0000;4732.0000;123
1719;District 5 Omega;Vitality;Premium;  1916P;"-4416, 3488";"-4432, 3504";"-4400, 3504";"-4400, 3472";"-4432, 3472";-4416.0000;3488.0000;122
1720;District 5 Omega;Vitality;Premium;  1915P;"-4384, 3488";"-4400, 3504";"-4368, 3504";"-4368, 3472";"-4400, 3472";-4384.0000;3488.0000;122
1721;District 5 Omega;Vitality;Premium;  1914P;"-4768, 3268";"-4784, 3284";"-4752, 3284";"-4752, 3252";"-4784, 3252";-4768.0000;3268.0000;121
1722;District 5 Omega;Vitality;Premium;  1913P;"-4736, 3268";"-4752, 3284";"-4720, 3284";"-4720, 3252";"-4752, 3252";-4736.0000;3268.0000;121
1723;District 5 Omega;Vitality;Premium;  1912P;"-5296, 4176";"-5312, 4192";"-5280, 4192";"-5280, 4160";"-5312, 4160";-5296.0000;4176.0000;120
1724;District 5 Omega;Vitality;Premium;  1911P;"-5264, 4176";"-5280, 4192";"-5248, 4192";"-5248, 4160";"-5280, 4160";-5264.0000;4176.0000;120
1725;District 5 Omega;Vitality;Premium;  1910P;"-4944, 4398";"-4960, 4414";"-4928, 4414";"-4928, 4382";"-4960, 4382";-4944.0000;4398.0000;119
1726;District 5 Omega;Vitality;Premium;  1909P;"-4912, 4398";"-4928, 4414";"-4896, 4414";"-4896, 4382";"-4928, 4382";-4912.0000;4398.0000;119
1727;District 5 Omega;Vitality;Premium;  1908P;"-5296, 5744";"-5312, 5728";"-5280, 5728";"-5280, 5760";"-5312, 5760";-5296.0000;5744.0000;118
1728;District 5 Omega;Vitality;Premium;  1907P;"-5264, 5744";"-5280, 5728";"-5248, 5728";"-5248, 5760";"-5280, 5760";-5264.0000;5744.0000;118
1729;District 5 Omega;Vitality;Premium;  1906P;"-4416, 6432";"-4432, 6416";"-4400, 6416";"-4400, 6448";"-4432, 6448";-4416.0000;6432.0000;117
1730;District 5 Omega;Vitality;Premium;  1905P;"-4384, 6432";"-4400, 6416";"-4368, 6416";"-4368, 6448";"-4400, 6448";-4384.0000;6432.0000;117
1731;District 5 Omega;Vitality;Premium;  1904P;"-4944, 5552";"-4960, 5536";"-4928, 5536";"-4928, 5568";"-4960, 5568";-4944.0000;5552.0000;116
1732;District 5 Omega;Vitality;Premium;  1903P;"-4912, 5552";"-4928, 5536";"-4896, 5536";"-4896, 5568";"-4928, 5568";-4912.0000;5552.0000;116
1733;District 5 Omega;Vitality;Premium;  1902P;"-4768, 6652";"-4784, 6636";"-4752, 6636";"-4752, 6668";"-4784, 6668";-4768.0000;6652.0000;115
1734;District 5 Omega;Vitality;Premium;  1901P;"-4736, 6652";"-4752, 6636";"-4720, 6636";"-4720, 6668";"-4752, 6668";-4736.0000;6652.0000;115
2013;District 6 Sigma;Imagination;Premium;  1961P;"-7456, -1692";"-7472, -1676";"-7440, -1676";"-7440, -1708";"-7472, -1708";-7456.0000;-1692.0000;145
2014;District 6 Sigma;Imagination;Premium;  1962P;"-7488, -1692";"-7504, -1676";"-7472, -1676";"-7472, -1708";"-7504, -1708";-7488.0000;-1692.0000;145
2015;District 6 Sigma;Imagination;Premium;  1963P;"-7632, -592";"-7648, -576";"-7616, -576";"-7616, -608";"-7648, -608";-7632.0000;-592.0000;146
2016;District 6 Sigma;Imagination;Premium;  1964P;"-7664, -592";"-7680, -576";"-7648, -576";"-7648, -608";"-7680, -608";-7664.0000;-592.0000;146
2017;District 6 Sigma;Imagination;Premium;  1965P;"-7104, -1472";"-7120, -1456";"-7088, -1456";"-7088, -1488";"-7120, -1488";-7104.0000;-1472.0000;147
2018;District 6 Sigma;Imagination;Premium;  1966P;"-7136, -1472";"-7152, -1456";"-7120, -1456";"-7120, -1488";"-7152, -1488";-7136.0000;-1472.0000;147
2019;District 6 Sigma;Imagination;Premium;  1967P;"-7984, -784";"-8000, -768";"-7968, -768";"-7968, -800";"-8000, -800";-7984.0000;-784.0000;148
2020;District 6 Sigma;Imagination;Premium;  1968P;"-8016, -784";"-8032, -768";"-8000, -768";"-8000, -800";"-8032, -800";-8016.0000;-784.0000;148
2021;District 6 Sigma;Imagination;Premium;  1969P;"-3568, 562";"-3552, 546";"-3584, 546";"-3584, 578";"-3552, 578";-3568.0000;562.0000;149
2022;District 6 Sigma;Imagination;Premium;  1970P;"-3536, 562";"-3520, 546";"-3552, 546";"-3552, 578";"-3520, 578";-3536.0000;562.0000;149
2023;District 6 Sigma;Imagination;Premium;  1971P;"-3216, 784";"-3200, 768";"-3232, 768";"-3232, 800";"-3200, 800";-3216.0000;784.0000;150
2024;District 6 Sigma;Imagination;Premium;  1972P;"-3184, 784";"-3168, 768";"-3200, 768";"-3200, 800";"-3168, 800";-3184.0000;784.0000;150
2025;District 6 Sigma;Imagination;Premium;  1973P;"-3744, 1692";"-3728, 1676";"-3760, 1676";"-3760, 1708";"-3728, 1708";-3744.0000;1692.0000;151
2026;District 6 Sigma;Imagination;Premium;  1974P;"-3712, 1692";"-3696, 1676";"-3728, 1676";"-3728, 1708";"-3696, 1708";-3712.0000;1692.0000;151
2027;District 6 Sigma;Imagination;Premium;  1975P;"-4096, 1472";"-4080, 1456";"-4112, 1456";"-4112, 1488";"-4080, 1488";-4096.0000;1472.0000;152
2028;District 6 Sigma;Imagination;Premium;  1976P;"-4064, 1472";"-4048, 1456";"-4080, 1456";"-4080, 1488";"-4048, 1488";-4064.0000;1472.0000;152
2029;District 6 Sigma;Imagination;Premium;  1977P;"-3568, -562";"-3552, -546";"-3584, -546";"-3584, -578";"-3552, -578";-3568.0000;-562.0000;153
2030;District 6 Sigma;Imagination;Premium;  1978P;"-3536, -562";"-3520, -546";"-3552, -546";"-3552, -578";"-3520, -578";-3536.0000;-562.0000;153
2031;District 6 Sigma;Imagination;Premium;  1979P;"-3216, -784";"-3200, -768";"-3232, -768";"-3232, -800";"-3200, -800";-3216.0000;-784.0000;154
2032;District 6 Sigma;Imagination;Premium;  1980P;"-3184, -784";"-3168, -768";"-3200, -768";"-3200, -800";"-3168, -800";-3184.0000;-784.0000;154
2033;District 6 Sigma;Imagination;Premium;  1981P;"-3744, -1692";"-3728, -1676";"-3760, -1676";"-3760, -1708";"-3728, -1708";-3744.0000;-1692.0000;155
2034;District 6 Sigma;Imagination;Premium;  1982P;"-3712, -1692";"-3696, -1676";"-3728, -1676";"-3728, -1708";"-3696, -1708";-3712.0000;-1692.0000;155
2035;District 6 Sigma;Imagination;Premium;  1983P;"-4096, -1472";"-4080, -1456";"-4112, -1456";"-4112, -1488";"-4080, -1488";-4096.0000;-1472.0000;156
2036;District 6 Sigma;Imagination;Premium;  1984P;"-4064, -1472";"-4048, -1456";"-4080, -1456";"-4080, -1488";"-4048, -1488";-4064.0000;-1472.0000;156
2037;District 6 Sigma;Imagination;Premium;  1985P;"-3824, 228";"-3840, 212";"-3808, 212";"-3808, 244";"-3840, 244";-3824.0000;228.0000;157
2038;District 6 Sigma;Imagination;Premium;  1986P;"-3856, 228";"-3872, 212";"-3840, 212";"-3840, 244";"-3872, 244";-3856.0000;228.0000;157
2039;District 6 Sigma;Imagination;Premium;  1987P;"-3824, -228";"-3840, -212";"-3808, -212";"-3808, -244";"-3840, -244";-3824.0000;-228.0000;158
2040;District 6 Sigma;Imagination;Premium;  1988P;"-3856, -228";"-3872, -212";"-3840, -212";"-3840, -244";"-3872, -244";-3856.0000;-228.0000;158
2041;District 6 Sigma;Imagination;Premium;  1989P;"-5104, 974";"-5120, 958";"-5088, 958";"-5088, 990";"-5120, 990";-5104.0000;974.0000;159
2042;District 6 Sigma;Imagination;Premium;  1990P;"-5136, 974";"-5152, 958";"-5120, 958";"-5120, 990";"-5152, 990";-5136.0000;974.0000;159
2043;District 6 Sigma;Imagination;Premium;  1991P;"-6096, 974";"-6080, 958";"-6112, 958";"-6112, 990";"-6080, 990";-6096.0000;974.0000;160
2044;District 6 Sigma;Imagination;Premium;  1992P;"-6064, 974";"-6048, 958";"-6080, 958";"-6080, 990";"-6048, 990";-6064.0000;974.0000;160
2045;District 6 Sigma;Imagination;Premium;  1993P;"-5104, -974";"-5120, -958";"-5088, -958";"-5088, -990";"-5120, -990";-5104.0000;-974.0000;161
2046;District 6 Sigma;Imagination;Premium;  1994P;"-5136, -974";"-5152, -958";"-5120, -958";"-5120, -990";"-5152, -990";-5136.0000;-974.0000;161
2047;District 6 Sigma;Imagination;Premium;  1995P;"-6096, -974";"-6080, -958";"-6112, -958";"-6112, -990";"-6080, -990";-6096.0000;-974.0000;162
2048;District 6 Sigma;Imagination;Premium;  1996P;"-6064, -974";"-6048, -958";"-6080, -958";"-6080, -990";"-6048, -990";-6064.0000;-974.0000;162
2049;District 6 Sigma;Imagination;Premium;  1997P;"-7376, 228";"-7360, 212";"-7392, 212";"-7392, 244";"-7360, 244";-7376.0000;228.0000;163
2050;District 6 Sigma;Imagination;Premium;  1998P;"-7344, 228";"-7328, 212";"-7360, 212";"-7360, 244";"-7328, 244";-7344.0000;228.0000;163
2051;District 6 Sigma;Imagination;Premium;  1999P;"-7376, -228";"-7360, -212";"-7392, -212";"-7392, -244";"-7360, -244";-7376.0000;-228.0000;164
2052;District 6 Sigma;Imagination;Premium;  2000P;"-7344, -228";"-7328, -212";"-7360, -212";"-7360, -244";"-7328, -244";-7344.0000;-228.0000;164
2053;District 6 Sigma;Imagination;Premium;  2001P;"-4496, 160";"-4480, 144";"-4512, 144";"-4512, 176";"-4480, 176";-4496.0000;160.0000;165
2054;District 6 Sigma;Imagination;Premium;  2002P;"-4464, 160";"-4448, 144";"-4480, 144";"-4480, 176";"-4448, 176";-4464.0000;160.0000;165
2055;District 6 Sigma;Imagination;Premium;  2003P;"-4496, -160";"-4480, -144";"-4512, -144";"-4512, -176";"-4480, -176";-4496.0000;-160.0000;166
2056;District 6 Sigma;Imagination;Premium;  2004P;"-4464, -160";"-4448, -144";"-4480, -144";"-4480, -176";"-4448, -176";-4464.0000;-160.0000;166
2057;District 6 Sigma;Imagination;Premium;  2005P;"-6704, 160";"-6720, 144";"-6688, 144";"-6688, 176";"-6720, 176";-6704.0000;160.0000;167
2058;District 6 Sigma;Imagination;Premium;  2006P;"-6736, 160";"-6752, 144";"-6720, 144";"-6720, 176";"-6752, 176";-6736.0000;160.0000;167
2059;District 6 Sigma;Imagination;Premium;  2007P;"-6704, -160";"-6720, -144";"-6688, -144";"-6688, -176";"-6720, -176";-6704.0000;-160.0000;168
2060;District 6 Sigma;Imagination;Premium;  2008P;"-6736, -160";"-6752, -144";"-6720, -144";"-6720, -176";"-6752, -176";-6736.0000;-160.0000;168
2061;District 6 Sigma;Imagination;Premium;  2009P;"-7456, 1692";"-7472, 1676";"-7440, 1676";"-7440, 1708";"-7472, 1708";-7456.0000;1692.0000;169
2062;District 6 Sigma;Imagination;Premium;  2010P;"-7488, 1692";"-7504, 1676";"-7472, 1676";"-7472, 1708";"-7504, 1708";-7488.0000;1692.0000;169
2063;District 6 Sigma;Imagination;Premium;  2011P;"-7632, 592";"-7648, 576";"-7616, 576";"-7616, 608";"-7648, 608";-7632.0000;592.0000;170
2064;District 6 Sigma;Imagination;Premium;  2012P;"-7664, 592";"-7680, 576";"-7648, 576";"-7648, 608";"-7680, 608";-7664.0000;592.0000;170
2065;District 6 Sigma;Imagination;Premium;  2013P;"-7104, 1472";"-7120, 1456";"-7088, 1456";"-7088, 1488";"-7120, 1488";-7104.0000;1472.0000;171
2066;District 6 Sigma;Imagination;Premium;  2014P;"-7136, 1472";"-7152, 1456";"-7120, 1456";"-7120, 1488";"-7152, 1488";-7136.0000;1472.0000;171
2067;District 6 Sigma;Imagination;Premium;  2015P;"-7984, 784";"-8000, 768";"-7968, 768";"-7968, 800";"-8000, 800";-7984.0000;784.0000;172
2068;District 6 Sigma;Imagination;Premium;  2016P;"-8016, 784";"-8032, 768";"-8000, 768";"-8000, 800";"-8032, 800";-8016.0000;784.0000;172
2375;District 7 Kappa;Community;Premium;  2017P;"-4736, -6652";"-4752, -6636";"-4720, -6636";"-4720, -6668";"-4752, -6668";-4736.0000;-6652.0000;173
2376;District 7 Kappa;Community;Premium;  2018P;"-4768, -6652";"-4784, -6636";"-4752, -6636";"-4752, -6668";"-4784, -6668";-4768.0000;-6652.0000;173
2377;District 7 Kappa;Community;Premium;  2019P;"-4912, -5552";"-4928, -5536";"-4896, -5536";"-4896, -5568";"-4928, -5568";-4912.0000;-5552.0000;174
2378;District 7 Kappa;Community;Premium;  2020P;"-4944, -5552";"-4960, -5536";"-4928, -5536";"-4928, -5568";"-4960, -5568";-4944.0000;-5552.0000;174
